rs;kreis;sonst_mob_jan;pend_mob_jan;sonst_mob_feb;pend_mob_feb;sonst_mob_mär;pend_mob_mär;sonst_mob_apr;pend_mob_apr;sonst_mob_mai;pend_mob_mai;sonst_mob_jun;pend_mob_jun;sonst_mob_jul;pend_mob_jul;sonst_mob_aug;pend_mob_aug;sonst_mob_sep;pend_mob_sep;sonst_mob_okt;pend_mob_okt;sonst_mob_nov;pend_mob_nov;sonst_mob_dez;pend_mob_dez
8235;Calw;9;4;13;3;-16;-2;-24;-29;-5;-24;-8;7;10;0;4;-1;14;14;10;-2;2;6;-15;-2
8236;Enzkreis;1;-3;10;1;-16;-2;-20;-26;-5;-22;-11;4;1;-5;2;-5;3;7;2;-8;-6;-1;-18;-2
8237;Freudenstadt;20;8;25;7;-4;6;-13;-22;7;-18;0;13;12;0;10;2;12;13;7;-3;-5;0;-17;-7
8311;Freiburg im Breisgau, Stadt;7;-1;15;1;-27;-11;-37;-40;-16;-33;-16;-5;0;-9;-1;-5;-1;3;-6;-13;-20;-11;-35;-17
8315;Breisgau-Hochschwarzwald;8;0;11;0;-20;-4;-26;-28;-5;-22;-7;11;21;8;24;17;19;23;10;1;-6;3;-24;-3
8316;Emmendingen;9;0;16;1;-17;-2;-21;-27;-4;-23;-7;9;10;3;12;7;11;16;5;-2;-5;4;-22;-1
8317;Ortenaukreis;12;1;17;2;-15;-3;-25;-31;-8;-25;-6;9;8;1;14;6;9;13;2;-5;-10;0;-22;-6
8325;Rottweil;20;8;27;6;0;14;-10;-20;6;-18;-1;7;5;-4;4;-4;9;11;1;-5;-5;2;-19;-2
8326;Schwarzwald-Baar-Kreis;26;5;28;-1;-4;-1;-14;-29;5;-25;0;3;8;-2;3;0;10;14;5;-1;-4;3;-19;-4
8327;Tuttlingen;8;2;15;4;-15;1;-22;-31;-3;-24;-7;1;9;-4;3;-11;15;12;12;-3;4;2;-10;-1
8335;Konstanz;10;1;19;5;-15;2;-29;-28;-6;-21;-6;10;16;2;20;12;19;19;3;-3;-11;-1;-23;-8
8336;Lörrach;1;-7;12;-2;-24;-13;-33;-37;-15;-32;-11;1;2;-6;9;2;10;12;6;-4;-8;-1;-22;-7
8337;Waldshut;-12;-14;-2;-12;-29;-13;-42;-39;-26;-37;-11;6;14;7;25;24;25;35;26;19;3;18;-3;21
8415;Reutlingen;2;-4;9;-2;-21;-11;-28;-36;-11;-30;-12;-3;-2;-13;-5;-13;0;0;-4;-13;-9;-7;-21;-11
8416;Tübingen;14;-1;21;2;-12;-6;-25;-34;-10;-29;-13;-3;-2;-10;-1;-9;-1;-1;-6;-15;-11;-8;-23;-12
8417;Zollernalbkreis;13;3;16;7;-13;4;-20;-25;-5;-20;-5;12;9;4;1;-4;12;12;9;-1;1;7;-10;5
8421;Ulm, Stadt;-2;-8;5;-6;-30;-17;-44;-46;-21;-37;-25;-14;-17;-20;-14;-17;-12;-7;-14;-20;-23;-14;-37;-21
8425;Alb-Donau-Kreis;2;-6;9;-3;-21;-7;-24;-29;-4;-23;-11;3;4;-2;8;2;15;16;11;-1;5;9;-6;7
8426;Biberach;25;8;28;8;-5;4;-11;-23;9;-16;2;12;8;1;22;8;32;26;16;2;4;7;-5;6
8435;Bodenseekreis;4;-5;10;-1;-20;-7;-30;-35;-5;-26;-4;10;15;4;23;16;23;23;11;0;-7;-3;-20;-8
8436;Ravensburg;5;-1;13;1;-19;-3;-25;-29;-7;-23;-8;6;3;-2;6;2;7;10;1;-6;-5;0;-18;-6
8437;Sigmaringen;4;-7;3;-8;-21;-6;-28;-33;-16;-31;-20;-4;-3;-6;3;2;8;12;7;-1;-2;8;-2;19
9161;Ingolstadt, Stadt;5;-4;11;-2;-35;-23;-48;-49;-17;-35;-18;-8;-5;-14;-8;-13;-2;-1;-6;-15;-17;-16;-31;-22
9162;München, Stadt;2;-6;10;-2;-37;-24;-51;-54;-29;-43;-29;-20;-13;-23;-13;-19;-11;-10;-14;-22;-23;-24;-37;-29
9163;Rosenheim, Stadt;9;2;16;1;-29;-14;-48;-49;-24;-39;-22;-10;-8;-17;-10;-12;-14;-7;-15;-19;-25;-24;-35;-27
9171;Altötting;19;6;21;5;-19;0;-28;-21;2;-9;-1;24;9;10;14;20;12;26;13;10;-6;6;-14;7
9172;Berchtesgadener Land;-10;-15;1;-9;-41;-21;-56;-49;-36;-38;-17;7;12;11;25;36;25;42;-11;-6;-20;-10;-25;0
9173;Bad Tölz-Wolfratshausen;11;5;8;-1;-28;-10;-33;-33;-9;-26;-16;2;12;-1;9;9;8;11;2;-4;-2;-5;-19;-10
